popularity,release_date,title,vote_average,vote_count,release_year
21.946943,1995-10-30,Toy Story,7.7,5415.0,1995.0
17.015539,1995-12-15,Jumanji,6.9,2413.0,1995.0
11.7129,1995-12-22,Grumpier Old Men,6.5,92.0,1995.0
3.859495,1995-12-22,Waiting to Exhale,6.1,34.0,1995.0
8.387519,1995-02-10,Father of the Bride Part II,5.7,173.0,1995.0
17.924927,1995-12-15,Heat,7.7,1886.0,1995.0
6.677277,1995-12-15,Sabrina,6.2,141.0,1995.0
2.561161,1995-12-22,Tom and Huck,5.4,45.0,1995.0
5.23158,1995-12-22,Sudden Death,5.5,174.0,1995.0
14.686036,1995-11-16,GoldenEye,6.6,1194.0,1995.0
6.318445,1995-11-17,The American President,6.5,199.0,1995.0
5.430331,1995-12-22,Dracula: Dead and Loving It,5.7,210.0,1995.0
12.140733,1995-12-22,Balto,7.1,423.0,1995.0
5.092,1995-12-22,Nixon,7.1,72.0,1995.0
7.284477,1995-12-22,Cutthroat Island,5.7,137.0,1995.0
10.137389,1995-11-22,Casino,7.8,1343.0,1995.0
10.673167,1995-12-13,Sense and Sensibility,7.2,364.0,1995.0
9.026586,1995-12-09,Four Rooms,6.5,539.0,1995.0
8.205448,1995-11-10,Ace Ventura: When Nature Calls,6.1,1128.0,1995.0
7.337906,1995-11-21,Money Train,5.4,224.0,1995.0
12.669608,1995-10-20,Get Shorty,6.4,305.0,1995.0
10.701801,1995-10-27,Copycat,6.5,199.0,1995.0
11.065939,1995-10-06,Assassins,6.0,394.0,1995.0
12.133094,1995-10-27,Powder,6.3,143.0,1995.0
10.332025,1995-10-27,Leaving Las Vegas,7.1,365.0,1995.0
1.845899,1995-12-15,Othello,7.0,33.0,1995.0
8.681325,1995-10-20,Now and Then,6.6,91.0,1995.0
2.228434,1995-09-27,Persuasion,7.4,36.0,1995.0
9.822423,1995-05-16,The City of Lost Children,7.6,308.0,1995.0
1.100915,1995-04-30,Shanghai Triad,6.5,17.0,1995.0
9.481338,1995-08-11,Dangerous Minds,6.4,249.0,1995.0
12.297305,1995-12-29,Twelve Monkeys,7.4,2470.0,1995.0
0.745542,1996-09-18,Wings of Courage,6.8,4.0,1996.0
14.404764,1995-07-18,Babe,6.0,756.0,1995.0
1.493361,1995-11-08,Carrington,6.4,16.0,1995.0
6.891317,1995-12-29,Dead Man Walking,7.3,350.0,1995.0
0.114469,1995-10-20,Across the Sea of Time,3.5,2.0,1995.0
7.777735,1995-11-17,It Takes Two,6.1,149.0,1995.0
9.882383,1995-07-19,Clueless,6.9,828.0,1995.0
0.894647,1995-12-15,"Cry, the Beloved Country",6.7,13.0,1995.0
4.561387,1995-12-29,Richard III,6.9,50.0,1995.0
9.87957,1995-10-06,Dead Presidents,6.6,80.0,1995.0
10.979269,1995-12-29,Restoration,6.3,30.0,1995.0
10.870138,1995-08-18,Mortal Kombat,5.4,452.0,1995.0
10.448481,1995-05-20,To Die For,6.7,177.0,1995.0
4.485958,1995-10-06,How To Make An American Quilt,6.5,38.0,1995.0
18.45743,1995-09-22,Se7en,8.1,5915.0,1995.0
13.280069,1995-06-14,Pocahontas,6.7,1509.0,1995.0
3.302524,1995-05-05,When Night Is Falling,5.9,10.0,1995.0
16.302466,1995-07-19,The Usual Suspects,8.1,3334.0,1995.0
0.595949,1994-11-22,Guardian Angel,6.3,3.0,1994.0
15.899134,1995-09-13,Mighty Aphrodite,6.7,145.0,1995.0
1.361286,1994-01-01,Lamerica,7.7,11.0,1994.0
5.982764,1995-09-29,The Big Green,5.2,41.0,1995.0
4.093443,1995-05-19,Georgia,6.1,15.0,1995.0
0.307075,1997-07-08,Kids of the Round Table,3.0,1.0,1997.0
8.416802,1995-11-02,Home for the Holidays,6.3,39.0,1995.0
10.168437,1994-09-22,The Postman,7.6,181.0,1994.0
0.120789,1995-09-29,The Confessional,6.5,2.0,1995.0
10.673296,1995-07-14,The Indian in the Cupboard,5.9,136.0,1995.0
4.733526,1996-01-12,Eye for an Eye,5.8,65.0,1996.0
7.137117,1995-12-29,Mr. Holland's Opus,6.9,115.0,1995.0
11.700115,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,1996.0
2.174487,1996-01-12,Two If by Sea,4.5,14.0,1996.0
6.387469,1996-01-12,Bio-Dome,4.4,110.0,1996.0
2.49535,1996-01-12,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,1996.0
4.046208,1995-10-22,Two Bits,5.4,11.0,1995.0
2.518051,1995-02-08,French Twist,6.0,43.0,1995.0
14.56965,1995-04-26,Friday,7.0,513.0,1995.0
15.339153,1996-01-19,From Dusk Till Dawn,6.9,1644.0,1996.0
5.912223,1995-11-03,Fair Game,4.1,54.0,1995.0
3.367276,1995-10-06,Kicking and Screaming,7.0,36.0,1995.0
1.479446,1995-03-22,Les Miserables,6.6,8.0,1995.0
10.412194,1996-01-26,Bed of Roses,5.1,27.0,1996.0
2.936443,1996-01-26,Big Bully,3.9,16.0,1996.0
12.758848,1995-09-08,Screamers,6.1,154.0,1995.0
0.133893,1995-02-18,Nico Icon,7.3,3.0,1995.0
5.756462,1995-11-15,The Crossing Guard,6.1,74.0,1995.0
6.010579,1996-02-02,The Juror,5.5,91.0,1996.0
1.196256,1995-01-01,The White Balloon,7.5,20.0,1995.0
4.486179,1995-12-01,Things to Do in Denver When You're Dead,6.7,87.0,1995.0
2.030174,1995-09-12,Antonia's Line,7.2,26.0,1995.0
0.252287,1996-01-26,Once Upon a Time... When We Were Colored,4.5,2.0,1996.0
0.531159,1995-11-22,Last Summer in the Hamptons,0.0,0.0,1995.0
2.15166,1995-09-10,Angels and Insects,6.3,17.0,1995.0
9.568604,1996-02-02,White Squall,6.3,86.0,1996.0
4.814825,1996-01-12,Dunston Checks In,5.1,59.0,1996.0
8.963037,1996-02-01,Black Sheep,6.0,124.0,1996.0
6.848591,1995-11-22,Nick of Time,6.1,190.0,1995.0
0.411424,1995-09-14,The Journey of August King,6.7,3.0,1995.0
12.866139,1996-02-23,Mary Reilly,5.7,77.0,1996.0
9.071127,1995-10-26,Vampire in Brooklyn,4.5,113.0,1995.0
4.670562,1996-02-09,Beautiful Girls,6.6,103.0,1996.0
14.957626,1996-02-09,Broken Arrow,5.7,459.0,1996.0
0.513391,1995-12-01,A Midwinter's Tale,7.5,6.0,1995.0
12.108196,1995-05-31,La Haine,7.9,695.0,1995.0
2.657647,1994-12-06,Shopping,5.6,13.0,1994.0
0.638211,1995-12-27,Heidi Fleiss: Hollywood Madam,6.8,4.0,1995.0
4.807223,1996-02-16,City Hall,6.0,67.0,1996.0
6.904831,1996-02-21,Bottle Rocket,6.8,285.0,1996.0
3.329264,1996-02-16,Mr. Wrong,3.3,16.0,1996.0
2.464425,1996-02-23,Unforgettable,5.3,22.0,1996.0
9.592265,1996-02-16,Happy Gilmore,6.5,767.0,1996.0
5.951077,1995-05-28,The Bridges of Madison County,7.3,397.0,1995.0
1.015068,1994-11-07,Nobody Loves Me,5.1,5.0,1994.0
6.902423,1996-02-16,Muppet Treasure Island,6.5,93.0,1996.0
0.976707,1995-12-08,Catwalk,7.0,2.0,1995.0
0.001346,1995-05-20,Headless Body in Topless Bar,0.0,0.0,1995.0
20.755149,1995-05-24,Braveheart,7.7,3404.0,1995.0
14.092713,1976-02-07,Taxi Driver,8.1,2632.0,1976.0
12.314278,1995-01-30,Rumble in the Bronx,6.5,245.0,1995.0
2.938293,1996-02-23,Before and After,5.8,37.0,1996.0
0.372697,1995-09-13,Margaret's Museum,7.5,2.0,1995.0
1.254885,1995-01-31,Happiness Is in the Field,7.0,23.0,1995.0
0.243986,1995-06-08,Anne Frank Remembered,7.3,4.0,1995.0
6.178497,1995-01-20,The Young Poisoner's Handbook,6.9,19.0,1995.0
2.891918,1996-03-08,If Lucy Fell,5.4,11.0,1996.0
1.522412,1995-09-29,Steal Big Steal Little,5.1,7.0,1995.0
1.317878,1996-03-22,Race the Sun,5.2,21.0,1996.0
0.86539,1992-12-06,The Boys of St. Vincent,7.0,7.0,1992.0
6.506983,1992-06-30,Boomerang,5.4,139.0,1992.0
6.778979,1994-07-14,Chungking Express,7.9,249.0,1994.0
1.702639,1995-09-21,The Star Maker,6.8,29.0,1995.0
5.579088,1996-03-22,Flirting with Disaster,6.3,66.0,1996.0
6.252377,1994-10-26,The Neverending Story III: Escape from Fantasia,4.4,105.0,1994.0
0.406754,1994-09-30,The Silences of the Palace,4.3,3.0,1994.0
0.001178,1995-01-01,Jupiter's Wife,0.0,0.0,1995.0
0.699066,1996-02-09,Pie in the Sky,7.0,2.0,1996.0
2.197439,1995-01-01,Angela,5.6,9.0,1995.0
0.637554,1995-11-22,Frankie Starlight,5.4,4.0,1995.0
11.418917,1995-10-13,Jade,5.1,45.0,1995.0
0.291021,1995-08-16,Nueba Yol,5.5,1.0,1995.0
0.001838,1995-08-01,Sonic Outlaws,0.0,0.0,1995.0
5.184977,1996-03-01,Down Periscope,5.6,110.0,1996.0
0.276401,1995-09-08,From the Journals of Jean Seberg,6.5,2.0,1995.0
0.540436,1995-09-15,Man of the Year,3.8,2.0,1995.0
0.370342,1995-08-23,The Neon Bible,7.2,5.0,1995.0
0.001205,1995-08-01,Target,0.0,0.0,1995.0
3.402749,1996-03-01,Up Close & Personal,5.9,51.0,1996.0
6.49968,1996-03-08,The Birdcage,6.7,303.0,1996.0
0.918504,1995-10-12,Virgin Mary,7.0,2.0,1995.0
2.039196,1995-08-09,The Brothers McMullen,6.3,23.0,1995.0
9.262184,1995-04-07,Bad Boys,6.5,1729.0,1995.0
2.375865,1995-08-25,The Amazing Panda Adventure,5.0,31.0,1995.0
7.415144,1995-04-21,The Basketball Diaries,7.2,472.0,1995.0
0.922958,1995-07-21,An Awfully Big Adventure,6.0,11.0,1995.0
1.759012,1994-08-05,Amateur,6.5,21.0,1994.0
18.761467,1995-06-30,Apollo 13,7.3,1637.0,1995.0
10.193549,1995-04-13,Rob Roy,6.5,151.0,1995.0
3.137285,1995-01-10,The Addiction,6.4,46.0,1995.0
13.321354,1995-06-16,Batman Forever,5.2,1529.0,1995.0
10.142662,1967-05-24,Belle de Jour,7.3,163.0,1967.0
2.04189,1995-05-24,Beyond Rangoon,6.4,21.0,1995.0
11.528147,1995-09-15,Blue in the Face,6.8,28.0,1995.0
5.391556,1995-06-08,Canadian Bacon,5.9,57.0,1995.0
12.812539,1995-05-26,Casper,6.0,1045.0,1995.0
4.558992,1995-09-15,Clockers,6.8,69.0,1995.0
7.260574,1995-06-09,Congo,5.0,214.0,1995.0
8.657365,1995-05-12,Crimson Tide,7.0,508.0,1995.0
3.620388,1994-09-10,Crumb,7.6,71.0,1994.0
6.950458,1995-08-25,Desperado,6.8,898.0,1995.0
4.646132,1995-09-15,Devil in a Blue Dress,6.3,88.0,1995.0
15.138855,1995-05-19,Die Hard: With a Vengeance,6.9,2094.0,1995.0
7.120806,1995-10-27,The Doom Generation,5.6,57.0,1995.0
0.523575,1995-10-12,Feast of July,0.0,0.0,1995.0
15.178338,1995-07-07,First Knight,5.9,319.0,1995.0
7.575098,1995-07-19,Free Willy 2 - The Adventure Home,5.5,130.0,1995.0
14.810519,1995-09-14,Hackers,6.2,406.0,1995.0
3.196456,1995-08-18,Jeffrey,6.5,19.0,1995.0
11.715868,1995-05-26,Johnny Mnemonic,5.5,380.0,1995.0
8.184815,1995-06-30,Judge Dredd,5.4,643.0,1995.0
3.676921,1995-04-12,Jury Duty,4.0,34.0,1995.0
4.877872,1995-07-28,Kids,6.8,280.0,1995.0
10.058329,1995-01-20,Living in Oblivion,7.2,64.0,1995.0
4.102409,1995-08-25,Lord of Illusions,5.9,87.0,1995.0
0.354014,1993-05-20,Love & Human Remains,7.0,7.0,1993.0
2.624771,1995-05-26,Mad Love,5.5,27.0,1995.0
8.25547,1995-10-20,Mallrats,6.8,400.0,1995.0
7.024227,1995-06-30,Mighty Morphin Power Rangers: The Movie,5.2,153.0,1995.0
1.01115,1995-09-29,Moonlight and Valentino,5.6,10.0,1995.0
2.466066,1995-09-28,Mute Witness,6.4,36.0,1995.0
7.720056,1994-09-13,Nadja,5.9,12.0,1994.0
13.304342,1995-07-28,The Net,5.6,359.0,1995.0
8.482834,1995-07-12,Nine Months,5.5,171.0,1995.0
1.165039,1995-06-09,Party Girl,5.8,14.0,1995.0
10.187623,1995-09-01,The Prophecy,6.4,139.0,1995.0
0.119713,1995-11-17,Reckless,10.0,1.0,1995.0
8.180047,1995-06-23,Safe,7.2,62.0,1995.0
6.752119,1995-10-13,The Scarlet Letter,5.5,111.0,1995.0
0.159596,1995-08-25,The Show,5.3,2.0,1995.0
17.502375,1995-09-22,Showgirls,4.9,261.0,1995.0
5.552946,1995-06-09,Smoke,7.2,115.0,1995.0
3.743212,1995-08-04,Something to Talk About,5.7,60.0,1995.0
13.492845,1995-07-07,Species,5.5,457.0,1995.0
0.913522,1995-09-15,The Stars Fell on Henrietta,6.6,6.0,1995.0
11.223055,1995-10-13,Strange Days,6.8,334.0,1995.0
8.133881,1964-02-19,The Umbrellas of Cherbourg,7.6,119.0,1964.0
1.820419,1995-09-08,The Tie That Binds,4.6,9.0,1995.0
11.002046,1995-10-27,Three Wishes,6.1,18.0,1995.0
4.546552,1995-11-02,Total Eclipse,6.5,112.0,1995.0
7.653446,1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0,1995.0
7.490247,1995-07-13,Under Siege 2: Dark Territory,5.6,217.0,1995.0
2.881689,1995-09-15,Unstrung Heroes,6.4,9.0,1995.0
0.786023,1995-08-11,Unzipped,6.0,6.0,1995.0
9.715639,1995-08-11,A Walk in the Clouds,6.5,168.0,1995.0
16.885184,1995-07-28,Waterworld,5.9,1017.0,1995.0
1.834099,1995-12-01,White Man's Burden,5.1,25.0,1995.0
8.922139,1995-12-01,Wild Bill,5.9,27.0,1995.0
3.727644,1994-10-12,The Browning Version,6.0,11.0,1994.0
3.287036,1995-08-04,Bushwhacked,4.9,29.0,1995.0
2.486073,1994-05-01,Burnt by the Sun,6.7,35.0,1994.0
3.525649,1994-06-09,Before the Rain,7.7,45.0,1994.0
11.304979,1995-01-27,Before Sunrise,7.7,984.0,1995.0
6.638116,1995-02-10,Billy Madison,6.2,464.0,1995.0
2.761837,1995-10-17,The Babysitter,4.7,27.0,1995.0
3.030309,1995-02-03,Boys on the Side,6.3,48.0,1995.0
2.686342,1995-04-21,The Cure,7.2,58.0,1995.0
2.26977,1995-08-04,Castle Freak,5.8,40.0,1995.0
2.605521,1995-03-16,Circle of Friends,6.5,30.0,1995.0
10.513367,1994-09-13,Clerks,7.4,769.0,1994.0
7.438934,1994-10-01,Don Juan DeMarco,6.3,184.0,1994.0
11.812244,1994-12-09,Disclosure,5.9,217.0,1994.0
0.155859,1995-01-01,Dream Man,2.5,1.0,1995.0
9.579155,1994-12-08,Drop Zone,5.1,91.0,1994.0
0.710671,1995-04-28,Destiny Turns on the Radio,5.3,9.0,1995.0
5.484156,1994-05-04,Death and the Maiden,7.1,92.0,1994.0
5.8025,1995-03-24,Dolores Claiborne,7.1,183.0,1995.0
9.844558,1994-12-16,Dumb and Dumber,6.5,1894.0,1994.0
4.860016,1994-08-03,Eat Drink Man Woman,7.5,76.0,1994.0
5.378467,1994-09-24,Exotica,6.5,64.0,1994.0
4.322726,1994-10-14,Exit to Eden,4.3,28.0,1994.0
11.720358,1994-09-27,Ed Wood,7.3,639.0,1994.0
9.146544,1995-05-05,French Kiss,6.2,179.0,1995.0
16.236745,1995-05-19,Forget Paris,6.1,38.0,1995.0
2.657337,1995-01-13,Far from Home: The Adventures of Yellow Dog,5.6,27.0,1995.0
10.177977,1995-04-07,A Goofy Movie,6.7,404.0,1995.0
8.182165,1995-03-03,Hideaway,5.0,24.0,1995.0
4.953936,1995-06-02,Fluke,6.6,48.0,1995.0
8.935058,1994-12-07,Farinelli,5.9,20.0,1994.0
0.398924,1995-05-12,Gordy,3.0,4.0,1995.0
0.090452,1995-12-01,Gumby: The Movie,5.0,2.0,1995.0
1.012197,1994-09-16,The Glass Shield,5.4,9.0,1994.0
9.47666,1994-09-12,Hoop Dreams,7.7,91.0,1994.0
9.438042,1994-09-02,Heavenly Creatures,6.9,299.0,1994.0
2.688562,1995-01-06,Houseguest,6.0,17.0,1995.0
7.983666,1994-12-16,Immortal Beloved,6.9,90.0,1994.0
9.546707,1995-02-17,Heavyweights,6.0,97.0,1995.0
2.756986,1995-02-24,The Hunted,6.0,25.0,1995.0
5.146352,1994-12-24,I.Q.,5.9,112.0,1994.0
11.970205,1994-11-11,Interview with the Vampire,7.2,1558.0,1994.0
1.596058,1995-03-31,Jefferson in Paris,5.2,10.0,1995.0
0.748846,1995-02-03,The Jerky Boys,4.8,10.0,1995.0
6.710215,1994-11-22,Junior,4.7,381.0,1994.0
